id,host_id,host_since,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,area,region,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,last_review,scores_rating,scores_accuracy,scores_cleanliness,scores_checkin,scores_communication,scores_location,scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,total_price
764599,4030859,162,100.0,0,1,1,Toa Payoh,Central Region,1.34143,103.84945,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,"Wifi,Air conditioning,Wheelchair accessible,Pool,Kitchen,Free parking on premises,Gym,Elevator,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,Changing table,High chair,Children’s books and toys,Window guards,Crib,Room-darkening shades,Children’s dinnerware,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Patio or balcony,Garden or backyard,Luggage dropoff allowed,Long term stays allowed,Wide hallways,No stairs or steps to enter,Wide entrance for guests,Flat path to guest entrance,Well-lit path to entrance,Disabled parking spot,Host greets you",51.0,0.0,0.0,1,14.0,2,1125,1,2,1125,1125,1.9,1125.0,1,18,43,73,348,40,9,28,957,97.0,9.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,1,0,1,0,0.53,65.0
765579,2413412,98,100.0,0,95,95,Outram,Central Region,1.28315,103.84213,Apartment,Private room,1,2.0,1.0,1.0,Real Bed,"Internet,Wifi,Air conditioning,Kitchen,Paid parking off premises,Elevator,Washer,Dryer,Essentials,Lock on bedroom door,24-hour check-in,Hangers,Iron,Laptop friendly workspace,Self check-in,Keypad,Private entrance,Hot water,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Luggage dropoff allowed,Long term stays allowed,Paid parking on premises",46.0,257.0,15.0,1,8.0,18,365,18,18,365,365,18.0,365.0,1,0,0,17,292,1,0,20,0,,6.0,6.0,8.0,10.0,6.0,6.0,1,strict_14_with_grace_period,96,0,96,0,0.01,46.0
782227,4125828,166,,0,1,1,Queenstown,Central Region,1.28342,103.78585,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"TV,Air conditioning,Pool,Free parking on premises,Gym,Elevator,Hot tub,Washer",128.0,257.0,39.0,1,0.0,3,60,3,3,60,60,3.0,60.0,1,30,60,90,365,0,0,-1,-1,,,,,,,,0,moderate,1,0,1,0,,128.0
819034,1584407,70,100.0,1,5,5,Marine Parade,Central Region,1.30529,103.9042,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"TV,Wifi,Air conditioning,Kitchen,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance,Hot water,Bed linens,Refrigerator,Dishwasher,Dishes and silverware,Luggage dropoff allowed,Long term stays allowed",301.0,500.0,39.0,1,0.0,2,30,2,2,30,30,2.0,30.0,1,24,46,72,202,37,0,25,524,95.0,10.0,10.0,9.0,10.0,10.0,10.0,0,moderate,5,3,2,0,0.48,301.0
819044,1584407,70,100.0,1,5,5,Marine Parade,Central Region,1.30392,103.89988,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"TV,Wifi,Air conditioning,Kitchen,Breakfast,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Hot water,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Luggage dropoff allowed,Long term stays allowed",141.0,500.0,39.0,1,0.0,2,30,2,2,30,30,2.0,30.0,1,21,45,71,196,67,2,24,727,90.0,10.0,10.0,9.0,10.0,10.0,9.0,0,moderate,5,3,2,0,0.86,141.0
833289,4360831,176,100.0,0,1,1,Bukit Merah,Central Region,1.27681,103.82381,Condominium,Private room,2,1.0,1.0,2.0,Real Bed,"Internet,Wifi,Air conditioning,Pool,Free parking on premises,Doorman,Gym,Elevator,Heating,Washer,Essentials,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Hot water,Host greets you",150.0,257.0,39.0,1,0.0,1,1125,1,1,1125,1125,1.0,1125.0,1,0,0,0,111,2,1,514,839,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible,1,0,1,0,0.05,150.0
881253,2413412,98,100.0,0,95,95,Outram,Central Region,1.28291,103.84284,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"TV,Cable TV,Internet,Wifi,Air conditioning,Kitchen,Paid parking off premises,Elevator,Heating,Family/kid friendly,Washer,Dryer,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self check-in,Keypad,Private living room,Private entrance,Hot water,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Luggage dropoff allowed,Long term stays allowed,Paid parking on premises",65.0,0.0,20.0,1,10.0,28,1124,18,28,1124,1124,28.0,1124.0,1,20,50,80,355,3,0,26,547,80.0,8.0,7.0,9.0,9.0,9.0,9.0,1,strict_14_with_grace_period,96,0,96,0,0.04,75.0
888196,4710327,190,0.0,0,1,1,Novena,Central Region,1.31314,103.84081,Apartment,Entire home/apt,8,4.0,4.0,4.0,Real Bed,"Internet,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Gym,Pets live on this property,Cat(s),Elevator,Buzzer/wireless intercom,Family/kid friendly,Washer,Smoke detector,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance,Bathtub,Room-darkening shades",241.0,689.0,69.0,2,34.0,5,1125,5,5,1125,1125,5.0,1125.0,1,0,0,0,46,14,0,33,164,96.0,9.0,9.0,10.0,10.0,9.0,9.0,0,strict_14_with_grace_period,1,1,0,0,0.2,445.0
902669,2413412,98,100.0,0,95,95,Geylang,Central Region,1.31525,103.88176,Apartment,Private room,1,3.0,1.0,1.0,Real Bed,"Internet,Wifi,Air conditioning,Kitchen,Paid parking off premises,Free street parking,Heating,Washer,Dryer,Essentials,Lock on bedroom door,24-hour check-in,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self check-in,Keypad,Private entrance,Hot water,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Luggage dropoff allowed,Long term stays allowed",34.0,0.0,15.0,1,10.0,18,365,3,18,365,365,17.9,365.0,1,15,45,75,350,5,1,576,909,92.0,8.0,8.0,10.0,10.0,9.0,9.0,1,strict_14_with_grace_period,96,0,96,0,0.14,34.0
918880,4935740,194,100.0,0,1,1,Serangoon,North-East Region,1.36885,103.8731,Apartment,Private room,3,1.0,1.0,3.0,Real Bed,"TV,Cable TV,Wifi,Air conditioning,Pool,Free parking on premises,Gym,Pets live on this property,Dog(s),Elevator,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Private living room,Room-darkening shades,Hot water,Bed linens,Refrigerator,Dishes and silverware,Single level home,BBQ grill,Garden or backyard,No stairs or steps to enter,Flat path to guest entrance,Disabled parking spot,Host greets you",70.0,500.0,40.0,1,55.0,1,180,1,1,180,180,1.0,180.0,1,22,52,82,357,23,2,124,750,96.0,10.0,10.0,10.0,10.0,9.0,9.0,0,moderate,1,0,1,0,0.4,180.0
