listing_id,date
294281,2014-05-15
294281,2014-08-05
294281,2014-09-22
294281,2014-09-29
294281,2014-10-03
294281,2014-10-13
294281,2014-10-27
294281,2014-11-19
294281,2014-12-24
294281,2014-12-31
294281,2015-01-30
294281,2015-03-02
294281,2015-03-23
294281,2015-04-24
294281,2015-05-23
294281,2015-07-10
294281,2015-07-20
294281,2015-08-12
294281,2015-08-15
294281,2015-08-26
294281,2015-09-10
294281,2015-09-16
294281,2015-10-17
294281,2015-12-22
294281,2015-12-28
294281,2016-01-03
294281,2016-01-19
294281,2016-03-18
294281,2016-10-16
294281,2016-12-12
294281,2016-12-28
294281,2017-04-24
294281,2017-06-18
294281,2017-06-30
294281,2017-08-05
294281,2017-08-10
294281,2017-09-17
294281,2017-10-05
294281,2017-10-11
294281,2017-11-04
294281,2017-11-10
294281,2017-11-23
294281,2017-12-15
294281,2018-01-14
294281,2018-01-17
294281,2018-02-11
294281,2018-02-28
294281,2018-03-06
294281,2018-03-29
294281,2018-04-04
294281,2018-04-30
294281,2018-09-17
294281,2018-10-08
294281,2018-10-20
294281,2018-11-24
294281,2018-12-29
294281,2019-01-26
294281,2019-02-12
294281,2019-03-04
294281,2019-03-24
294281,2019-04-25
294281,2019-05-05
301247,2013-10-21
301247,2013-11-17
301247,2013-11-23
301247,2013-12-07
301247,2013-12-10
301247,2013-12-25
301247,2013-12-26
301247,2014-05-30
301247,2014-06-07
301247,2015-02-06
301247,2015-11-13
301247,2016-04-07
301247,2016-05-01
301247,2016-05-05
301247,2016-05-09
301247,2016-08-19
301247,2016-08-27
301247,2016-10-29
301247,2016-11-16
301247,2016-11-22
301247,2016-11-26
301247,2017-02-26
301247,2017-03-11
301247,2017-03-18
301247,2017-04-15
301247,2017-05-12
301247,2017-05-15
301247,2017-06-26
301247,2017-07-11
301247,2017-08-22
301247,2017-10-27
301247,2017-10-30
301247,2017-12-11
301247,2018-01-18
301247,2018-01-20
301247,2018-01-29
301247,2018-02-05
301247,2018-02-12
301247,2018-02-13
301247,2018-02-20
301247,2018-02-25
301247,2018-03-14
301247,2018-03-15
301247,2018-03-23
301247,2018-04-17
301247,2018-04-24
301247,2018-04-30
301247,2018-05-07
301247,2018-06-09
301247,2018-06-11
301247,2018-06-14
301247,2018-06-16
301247,2018-06-27
301247,2018-06-29
301247,2018-07-01
301247,2018-07-12
301247,2018-07-22
301247,2018-07-24
301247,2018-07-25
301247,2018-08-01
301247,2018-08-12
301247,2018-08-16
301247,2018-08-17
301247,2018-08-18
301247,2018-08-27
301247,2018-08-31
301247,2018-09-05
301247,2018-09-12
301247,2018-09-17
301247,2018-10-06
301247,2018-10-07
301247,2018-10-31
301247,2018-11-02
301247,2018-11-13
301247,2018-12-02
301247,2018-12-05
301247,2018-12-08
301247,2019-01-15
301247,2019-01-18
301247,2019-01-26
301247,2019-02-01
301247,2019-02-11
301247,2019-02-15
301247,2019-02-18
301247,2019-02-22
301247,2019-03-06
301247,2019-03-17
301247,2019-03-20
301247,2019-04-16
301247,2019-04-24
301247,2019-04-25
320422,2014-12-07
320422,2017-12-29
324945,2012-07-08
324945,2012-10-15
324945,2012-11-12
324945,2013-04-16
324945,2013-09-27
324945,2013-10-14
324945,2013-12-22
324945,2014-03-25
324945,2016-01-29
324945,2016-10-03
324945,2017-08-16
324945,2017-11-04
324945,2019-02-02
330089,2013-12-20
330089,2014-02-02
330089,2014-06-01
330089,2014-08-25
330089,2014-12-10
330089,2015-08-02
330089,2016-02-15
330089,2017-05-29
330089,2019-03-02
330089,2019-04-27
330094,2013-07-14
330094,2013-07-24
330094,2013-10-02
330094,2013-11-01
330094,2014-01-06
330094,2018-07-14
330094,2018-09-02
330095,2013-11-14
330095,2014-06-01
330095,2016-08-22
344803,2012-03-13
344803,2012-04-04
344803,2012-07-23
344803,2012-08-01
344803,2012-08-17
344803,2012-08-22
344803,2012-08-24
344803,2012-09-29
344803,2012-10-08
344803,2012-11-02
344803,2012-11-09
344803,2013-02-13
344803,2013-02-28
344803,2013-03-09
344803,2013-03-27
344803,2013-05-11
344803,2013-05-17
344803,2013-06-08
344803,2013-06-23
344803,2013-07-21
344803,2013-08-18
344803,2013-09-22
344803,2013-10-25
344803,2018-03-16
344803,2018-04-05
344803,2018-06-12
344803,2018-06-20
344803,2018-07-30
344803,2018-08-08
344803,2018-08-27
344803,2018-09-02
344803,2018-11-04
344803,2018-11-19
344803,2018-12-15
344803,2019-01-04
344803,2019-01-21
344803,2019-02-11
344803,2019-02-23
344803,2019-04-05
344803,2019-04-19
369141,2013-10-03
369141,2013-10-16
369141,2013-10-24
369141,2013-11-18
369141,2014-01-14
369141,2014-02-02
369141,2014-04-11
369141,2014-04-24
369141,2014-07-06
369141,2014-07-09
369141,2014-07-20
369141,2014-08-03
369141,2015-02-17
369141,2015-03-11
369141,2015-03-19
369141,2015-06-02
369141,2015-09-05
369141,2015-09-21
369141,2015-12-07
369141,2015-12-14
369141,2015-12-22
369141,2015-12-27
369141,2016-01-02
369141,2016-01-24
369141,2016-04-21
369141,2016-05-01
369141,2016-05-20
369141,2016-07-06
369141,2016-07-11
369141,2016-07-25
369141,2016-07-30
369141,2016-08-24
369141,2016-09-10
369141,2016-10-07
369141,2016-10-16
369141,2016-12-25
369141,2017-01-15
369141,2017-01-21
369141,2017-01-25
369141,2017-02-12
369141,2017-03-11
369141,2017-04-01
369141,2017-04-08
369141,2017-04-28
369141,2017-06-21
369141,2017-07-05
369141,2017-08-17
369141,2017-08-23
369141,2017-09-16
369141,2017-09-24
369141,2017-10-09
369141,2017-10-25
369141,2017-12-13
369141,2017-12-20
369141,2017-12-23
369141,2017-12-28
369141,2018-01-14
369141,2018-02-20
369141,2018-03-12
369141,2018-04-08
369141,2018-08-04
369141,2018-08-20
369141,2018-09-05
369141,2018-09-16
369141,2018-10-11
369141,2018-10-11
369141,2018-10-19
369141,2018-10-19
369141,2018-10-25
369141,2018-11-22
369141,2018-12-04
369141,2018-12-05
369141,2019-01-06
369141,2019-01-07
369141,2019-01-13
369141,2019-01-20
369141,2019-02-09
369141,2019-02-17
369141,2019-04-17
369141,2019-04-28
369141,2019-05-02
369145,2012-04-12
369145,2012-05-21
369145,2012-06-03
369145,2012-06-14
369145,2012-06-22
369145,2012-07-02
369145,2012-07-02
369145,2012-07-06
369145,2012-08-08
369145,2012-08-30
369145,2012-09-04
369145,2012-09-14
369145,2012-09-18
369145,2012-09-25
369145,2012-09-28
369145,2012-10-03
369145,2012-10-08
369145,2012-10-23
369145,2012-11-16
369145,2012-11-18
369145,2012-12-01
369145,2012-12-11
369145,2013-01-03
369145,2013-01-11
369145,2013-01-14
369145,2013-01-25
369145,2013-01-30
369145,2013-03-11
369145,2013-03-14
369145,2013-03-16
369145,2013-04-14
369145,2013-04-17
369145,2013-04-25
369145,2013-05-05
369145,2013-05-08
369145,2013-05-19
369145,2013-05-23
369145,2013-05-31
369145,2013-06-06
369145,2013-06-16
369145,2013-06-22
369145,2013-07-03
369145,2013-07-24
369145,2013-08-10
369145,2013-08-21
369145,2013-09-09
369145,2013-09-16
369145,2013-09-24
369145,2013-10-10
369145,2013-10-13
369145,2013-10-15
369145,2013-10-25
369145,2013-11-07
369145,2013-11-22
369145,2013-12-01
369145,2013-12-15
369145,2013-12-26
369145,2013-12-28
369145,2014-01-10
369145,2014-01-26
369145,2014-03-01
369145,2014-03-05
369145,2014-04-10
369145,2014-04-17
369145,2014-04-29
369145,2014-05-18
369145,2014-06-06
369145,2014-06-16
369145,2014-08-09
369145,2014-09-01
369145,2014-09-23
